"","V1","V2","V3"
"969",6052,5795,3989
"970",1369,8615,8577
"971",5741,1411,8639
"972",7904,6049,960
"973",5792,4111,4129
"974",7942,5739,7970
"975",7898,6051,6049
"976",7945,3749,10311
"977",7985,997,7974
"978",7975,7947,7945
"979",7948,621,1416
"980",8491,8019,8018
"981",8654,7950,8658
"982",4017,6048,6771
"983",8015,1415,7953
"984",7954,1419,8024
"985",8656,7955,1423
"986",7957,7321,987
"987",8580,986,1373
"988",7958,1366,7950
"989",7950,8018,8017
"990",8019,7960,8111
"991",1367,4746,7940
"992",1373,1422,7961
"993",2892,2942,2945
"994",864,7744,866
"995",7967,7973,7981
"996",7969,7957,12323
"997",7983,7972,977
"998",7972,7981,2482
"999",7974,10728,7947
"1000",7979,10308,10341
"1001",9626,7981,7980
"1002",6045,4168,5794
"1003",4429,5790,6045
"1004",7985,10310,10313
"1005",10732,7986,10733
"1006",7841,5584,6046
"1007",441,195,7842
"1008",5195,9700,7991
"1009",7380,7992,7993
"1010",1106,2554,7994
"1011",7998,1315,8592
"1012",1015,4983,4976
"1013",8001,8003,8004
"1014",4983,12960,1222
"1015",3669,4982,1012
"1016",4328,867,4025
"1017",1422,8031,12286
"1018",7949,1020,8013
"1019",8016,8003,1392
"1020",8018,8653,1018
"1021",871,7576,6041
"1022",8173,1109,4310
"1023",1421,7955,7954
"1024",1173,2079,5208
"1025",4982,4981,12481
"1026",8030,7376,8651
"1027",1417,8651,8031
"1028",684,8032,7430
"1029",8034,915,8033
"1030",915,8058,1037
"1031",8036,8058,8056
"1032",8037,1044,8057
"1033",1043,8038,1344
"1034",8042,8035,8064
"1035",1048,498,7089
"1036",12973,3027,784
"1037",8047,1030,8035
"1038",8048,8039,5556
"1039",8549,8049,8053
"1040",8050,3283,8057
"1041",7763,13232,7769
"1042",8053,8603,7125
"1043",8055,1033,8059
"1044",7858,1032,915
"1045",8059,8543,931
"1046",7099,929,917
"1047",8061,931,927
"1048",8063,1035,7845
"1049",8065,6952,6953
"1050",6956,8034,1052
